date,price(USD)
3/10/2016,1.25
3/11/2016,1.1
3/12/2016,1.1
3/13/2016,1.15
3/14/2016,1.24
3/15/2016,1.12
3/16/2016,1.14
3/17/2016,1.15
3/18/2016,1.31
3/19/2016,1.15
3/20/2016,1.2
3/21/2016,1.52
3/22/2016,1.48
3/23/2016,1.35
3/24/2016,1.45
3/25/2016,1.69
3/26/2016,1.6
3/27/2016,1.69
3/28/2016,1.53
3/29/2016,1.49
3/30/2016,1.48
3/31/2016,1.44
4/1/2016,1.41
4/2/2016,1.46
4/3/2016,1.53
4/4/2016,1.55
4/5/2016,1.58
4/6/2016,1.52
4/7/2016,1.51
4/8/2016,1.51
4/9/2016,1.26
4/10/2016,1.14
4/11/2016,1.12
4/12/2016,1.02
4/13/2016,0.944542
4/14/2016,1.03
4/15/2016,1.01
4/16/2016,0.990496
4/17/2016,0.978342
4/18/2016,1.04
4/19/2016,1.11
4/20/2016,1.11
4/21/2016,1.06
4/22/2016,0.96843
4/23/2016,0.977764
4/24/2016,1.03
4/25/2016,1.02
4/26/2016,0.962278
4/27/2016,0.894009
4/28/2016,0.943459
4/29/2016,0.904687
4/30/2016,0.883464
5/1/2016,0.916798
5/2/2016,0.911209
5/3/2016,0.963722
5/4/2016,0.91748
5/5/2016,0.916448
5/6/2016,0.906994
5/7/2016,0.877036
5/8/2016,0.880503
5/9/2016,0.848722
5/10/2016,0.825951
5/11/2016,0.828834
5/12/2016,0.859854
5/13/2016,0.875739
5/14/2016,0.847938
5/15/2016,0.838644
5/16/2016,0.826412
5/17/2016,0.818318
5/18/2016,0.813099
5/19/2016,0.840467
5/20/2016,0.858781
5/21/2016,0.940434
5/22/2016,0.975337
5/23/2016,0.938519
5/24/2016,0.914471
5/25/2016,0.899239
5/26/2016,0.865867
5/27/2016,0.860189
5/28/2016,0.861864
5/29/2016,0.928311
5/30/2016,0.880528
5/31/2016,0.909725
6/1/2016,0.934166
6/2/2016,0.913437
6/3/2016,0.926588
6/4/2016,0.940914
6/5/2016,0.973615
